Harbin	Shuangcheng
Sergini	Peregrebnoe
Skovorodino	Nyukzha
Ajdahiya	Awjilah
Bielefeld	OsnabrVck
Chernivsti	Kolomiya
Moshi	Same
Chimoio	Manica
Cardenas	San Cristobal de Las Casas
Bagé	Tacuarembó
San Juan	Uspallata
Al Kut	Ash Shatrah
Madiun	Kediri
Pacitan	Mojokerto
Sangar	Tunguskhaya
Riberao~ Pre^to	Passos
Saransk	Ruzayevka
Druzhba	Karamay
Jinchang	Sandaohe(三道河)
Yulin	Dabodang(大伯当)
Mildura	Berri
Nizhnevartovsk	Laryak

----
Breda	Rotterdam
Rotterdam	The Hague
Minden	Sulingen
Vilkaviskis	Panevezys
Troitskosavsk	Gusinoozyorsk
Serpukhov	Noginsk
Kolomna	Podolsk
Simbirsk	Kuznetsk
Cher

