From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
x20E080;x688E79;sea;-1;3979;2909;3963;2904;;Ireland-Scotland
xD00000;x8CC57E;sea;-1;1372;2319;1382;2325;;None
xF0B481;x4070C0;sea;-1;2255;2104;2250;2099;;None
x20E000;x37518E;sea;-1;4064;3085;4024;3042;;None
x137263;x20E080;sea;-1;3994;2891;3994;2903;;None
x4040DF;xA67CC8;sea;-1;-1;-1;4466;2971;;None
xE041E0;x33CFEC;sea;-1;4581;3089;4589;3093;;None
xE04161;xE041E0;sea;-1;4558;3083;4581;3089;;None
x6040E0;x80A021;sea;-1;4619;3035;4631;3035;;None
xB78E54;x6060C0;sea;-1;4036;2742;4039;2778;;None
x60F080;x7D3FD7;sea;-1;4129;2451;4151;2465;;None
x405060;x4B79CA;sea;-1;4560;2430;4548;2462;;None
xA060DF;x168DF4;sea;-1;7647;2778;7665;2791;;None
x0170A0;xaaa21c;sea;-1;5364;2140;5360;2145;;Laristan
x958E99;x9F6BAC;sea;-1;6331;1761;6337;1761;;None
x217F68;xE5A4DA;sea;-1;6524;1749;6528;1753;;None
xA92B88;xF0B061;sea;-1;6603;1974;6603;1983;;None
xB0D080;x8ACAAA;sea;-1;-1;-1;6967;2331;;None
xF0D080;x70D080;sea;-1;7045;2179;7065;2225;;None
x438029;x21A090;sea;-1;4989;1381;4978;1385;;None
x606060;xecc061;sea;-1;2625;1938;2658;1932;;None
x89337A;x89334D;sea;-1;2666;1913;2688;1919;;None
x335389;x89334D;sea;-1;2680;1901;2687;1907;;None
x5299CA;x446c63;sea;-1;2706;1830;2702;1818;;None
xF0F001;x446c63;sea;-1;2695;1800;2701;1816;;None
xD496B1;x707080;sea;-1;-1;-1;2704;1760;;None
x446C63;x445B6C;sea;-1;2702;1817;2739;1815;;None
x543388;xE888D6;sea;-1;2769;2884;2767;2888;;None
x5E9DB3;x3020D0;sea;-1;2745;229;2749;228;;None
x290133;x871642;sea;-1;5467;3437;5476;3431;;None
x735843;xCD2826;sea;-1;5428;3453;5401;3472;;None
x019127;xE22563;sea;-1;4610;3458;4609;3452;;None
x80A2FD;x09E374;sea;-1;4498;3414;4501;3407;;None
x7F2EF1;xFEA2FF;sea;-1;4564;3449;4565;3438;;None
x7AAA5C;x80A021;sea;-1;4625;3028;4632;3029;;None
xF0345C;x646762;sea;-1;2950;1525;2945;1531;;None
x62BAA1;x0AF925;sea;-1;320;3082;341;3089;;None
x5F553A;x74BF34;sea;-1;4437;3390;4443;3387;;None
x6DD6EC;x101EFD;sea;-1;8172;3486;8157;3420;;None
x2F97B2;x6D86C4;sea;-1;5224;3403;5253;3377;;None
x7d205e;x7F4592;sea;-1;6940;1325;6945;1315;;None
xE9A095;x373813;sea;-1;2635;2753;2632;2769;;None
xD64E92;xD741B2;sea;-1;5701;3576;5702;3561;;None
x45DABC;xEFDF10;sea;-1;-1;-1;5630;3433;;None
x7D205E;x929145;sea;-1;6918;1323;6912;1326;;None
xE90740;x7d205e;sea;-1;6959;1333;6940;1326;;None
xA9C0EB;x6c9d8a;sea;-1;7202;1195;7187;1200;;None
x01BF32;xFA63AB;sea;-1;7075;1246;7081;1232;;None
x1D9B6B;x5847DC;sea;-1;2501;1784;2503;1772;;None
x63A92C;x4BF073;sea;-1;237;3186;319;3135;;None
x20E000;x0C1520;sea;-1;4028;3035;4024;3028;;None
x97b9e0;xB0F0E0;sea;-1;6846;1820;6851;1827;;Luzon
xB0F0B0;x6d44b5;sea;-1;6832;1791;6849;1800;;Luzon
x97B9E0;xB0F0E0;sea;-1;6845;1821;6851;1827;;None
x0a9ebc;x39dd3b;sea;-1;7060;1474;7073;1485;;None
x74B3F3;x607082;sea;-1;1102;2829;1097;2834;;None
